Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
31;infrastructure;YRDSB-S;A8:BD:27:E2:EC:A1;;1;No;WPA2,AES-CCM;No;260.0;0;24;0;11;0;0;11;;;Mon Jan  8 11:51:59 2024;Mon Jan  8 11:53:16 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;YRDSB-S;A8:BD:27:E4:4C:81;;11;No;WPA2,AES-CCM;No;260.0;0;41;0;17;0;0;17;;;Mon Jan  8 11:51:59 2024;Mon Jan  8 11:53:13 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;YRDSB-Guest;A8:BD:27:D2:60:E2;;6;No;OPN,None;No;260.0;0;25;0;0;0;0;0;;;Mon Jan  8 11:51:59 2024;Mon Jan  8 11:53:15 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;;A8:BD:27:E9:78:C1;;6;No;WPA,None;No;-1.0;0;0;0;9;0;0;9;;;Mon Jan  8 11:52:03 2024;Mon Jan  8 11:53:15 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;;A8:BD:27:E9:7C:C2;;1;No;OPN,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Jan  8 11:52:10 2024;Mon Jan  8 11:52:10 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.180.200.185;
36;infrastructure;;A8:BD:27:E2:C2:A1;;6;No;WPA,None;No;-1.0;0;0;0;2;0;0;2;;;Mon Jan  8 11:52:22 2024;Mon Jan  8 11:53:07 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;;A8:BD:27:E9:40:81;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:52:26 2024;Mon Jan  8 11:52:30 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;;00:00:00:00:00:00;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:52:26 2024;Mon Jan  8 11:53:06 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;;A8:BD:27:E4:4F:21;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:52:26 2024;Mon Jan  8 11:52:45 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;;A8:BD:27:E4:4E:41;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:52:41 2024;Mon Jan  8 11:53:07 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;;70:3A:0E:5B:F1:61;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:52:48 2024;Mon Jan  8 11:52:58 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;;A8:BD:27:E9:7C:C1;;1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:52:55 2024;Mon Jan  8 11:52:59 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
