Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
27;infrastructure;YRDSB-S;70:3A:0E:5D:E6:81;;1;No;WPA2,AES-CCM;No;260.0;0;247;0;20;0;0;20;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:07 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;YRDSB-Guest;70:3A:0E:5D:E6:82;;1;No;OPN,None;No;260.0;0;227;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:08 2024;-92;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;;70:3A:0E:5D:E6:83;;1;No;WPA2,AES-CCM;No;260.0;0;192;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:23 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;;70:3A:0E:5D:F3:83;;6;No;WPA2,AES-CCM;No;260.0;0;231;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:19 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;;A8:BD:27:E9:5B:21;;6;No;WPA,None;No;-1.0;0;0;0;6;0;0;6;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:14:45 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;;70:3A:0E:5D:FA:E3;;11;No;WPA2,AES-CCM;No;260.0;0;837;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:25 2024;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;;A8:BD:27:E9:44:61;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 12:06:14 2024;Mon Jan  8 12:15:08 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;YRDSB-A;70:3A:0E:5D:FA:E0;;11;No;WPA2,AES-CCM;No;260.0;0;221;0;0;0;0;0;;;Mon Jan  8 12:06:15 2024;Mon Jan  8 12:15:25 2024;-81;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;;00:25:00:FF:94:73;;6;No;OPN,None;No;-1.0;0;0;0;10;0;0;10;;;Mon Jan  8 12:06:15 2024;Mon Jan  8 12:15:21 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;YRDSB-A;70:3A:0E:5D:F3:80;;6;No;WPA2,AES-CCM;No;260.0;0;190;0;0;0;0;0;;;Mon Jan  8 12:06:15 2024;Mon Jan  8 12:15:23 2024;-88;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;YRDSB-A;A8:BD:27:E9:41:E0;;11;No;WPA2,AES-CCM;No;260.0;0;94;0;0;0;0;0;;;Mon Jan  8 12:06:15 2024;Mon Jan  8 12:15:05 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;YRDSB-Guest;A8:BD:27:D4:41:02;;11;No;OPN,None;No;260.0;0;322;0;0;0;0;0;;;Mon Jan  8 12:06:15 2024;Mon Jan  8 12:15:25 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;YRDSB-S;A8:BD:27:D4:40:81;;6;No;WPA2,AES-CCM;No;260.0;0;1;0;13;0;0;13;;;Mon Jan  8 12:06:16 2024;Mon Jan  8 12:15:23 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
40;infrastructure;YRDSB-A;A8:BD:27:D4:41:00;;11;No;WPA2,AES-CCM;No;260.0;0;455;0;0;0;0;0;;;Mon Jan  8 12:06:16 2024;Mon Jan  8 12:15:25 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
41;infrastructure;YRDSB-S;70:3A:0E:5D:F3:81;;6;No;WPA2,AES-CCM;No;260.0;0;210;0;0;0;0;0;;;Mon Jan  8 12:06:16 2024;Mon Jan  8 12:15:23 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
42;infrastructure;YRDSB-Guest;70:3A:0E:5D:F3:82;;6;No;OPN,None;No;260.0;0;202;0;1;0;0;1;;;Mon Jan  8 12:06:16 2024;Mon Jan  8 12:15:24 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.180.200.75;
43;infrastructure;YRDSB-Guest;A8:BD:27:D4:40:62;;6;No;OPN,None;No;260.0;0;92;0;0;0;0;0;;;Mon Jan  8 12:06:16 2024;Mon Jan  8 12:14:13 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
44;infrastructure;;70:3A:0E:5E:0B:C1;;11;No;WPA,None;No;-1.0;0;0;0;8;0;0;8;;;Mon Jan  8 12:06:17 2024;Mon Jan  8 12:15:17 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
45;infrastructure;;A8:BD:27:E9:34:02;;6;No;OPN,None;No;-1.0;0;0;0;7;0;0;7;;;Mon Jan  8 12:06:21 2024;Mon Jan  8 12:15:16 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;10.180.200.75;
46;infrastructure;YRDSB-S;A8:BD:27:D4:40:61;;6;No;WPA2,AES-CCM;No;260.0;0;70;0;34;0;0;34;;;Mon Jan  8 12:06:21 2024;Mon Jan  8 12:14:40 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
