Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
27;infrastructure;;70:3A:0E:5D:EB:E3;;11;No;WPA2,AES-CCM;No;260.0;0;7;0;0;0;0;0;;;Mon Jan  8 11:57:14 2024;Mon Jan  8 11:57:22 2024;-89;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
28;infrastructure;DIRECT-A6-HP OfficeJet 3830;EC:8E:B5:8C:C7:F9;;6;No;WPA2,AES-CCM;No;65.0;0;4;0;0;0;0;0;;;Mon Jan  8 11:57:15 2024;Mon Jan  8 11:57:27 2024;-84;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
29;infrastructure;YRDSB-Guest;70:3A:0E:5D:E8:E2;;6;No;OPN,None;No;260.0;0;5;0;0;0;0;0;;;Mon Jan  8 11:57:16 2024;Mon Jan  8 11:57:43 2024;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
30;infrastructure;;70:3A:0E:5D:E2:61;;6;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:57:16 2024;Mon Jan  8 11:57:54 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
31;infrastructure;;00:25:00:FF:94:73;;-1;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:57:16 2024;Mon Jan  8 11:58:40 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
32;infrastructure;YRDSB-A;70:3A:0E:5D:E8:E0;;6;No;WPA2,AES-CCM;No;260.0;0;5;0;0;0;0;0;;;Mon Jan  8 11:57:16 2024;Mon Jan  8 11:57:43 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
33;infrastructure;;70:3A:0E:5D:E8:E3;;6;No;WPA2,AES-CCM;No;260.0;0;4;0;0;0;0;0;;;Mon Jan  8 11:57:16 2024;Mon Jan  8 11:57:24 2024;-82;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
34;infrastructure;YRDSB-S;A8:BD:27:E9:42:E1;;6;No;WPA2,AES-CCM;No;260.0;0;16;0;5;0;0;5;;;Mon Jan  8 11:57:16 2024;Mon Jan  8 11:58:13 2024;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
35;infrastructure;;70:3A:0E:5D:E9:83;;11;No;WPA2,AES-CCM;No;260.0;0;2;0;0;0;0;0;;;Mon Jan  8 11:57:18 2024;Mon Jan  8 11:58:42 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
36;infrastructure;;A8:BD:27:E9:44:63;;11;No;WPA2,AES-CCM;No;260.0;0;17;0;0;0;0;0;;;Mon Jan  8 11:57:18 2024;Mon Jan  8 11:58:04 2024;-90;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
37;infrastructure;;70:3A:0E:5B:F1:61;;1;No;WPA,None;No;-1.0;0;0;0;6;0;0;6;;;Mon Jan  8 11:57:19 2024;Mon Jan  8 11:57:53 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
38;infrastructure;YRDSB-S;A8:BD:27:E9:39:C1;;1;No;WPA2,OPN,AES-CCM;No;260.0;0;69;0;204;0;0;204;;;Mon Jan  8 11:57:19 2024;Mon Jan  8 11:58:44 2024;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
39;infrastructure;;70:3A:0E:5D:F2:A1;;11;No;None;No;-1.0;0;0;0;0;0;0;0;;;Mon Jan  8 11:57:20 2024;Mon Jan  8 11:57:26 2024;-1;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
